t;x;y;z;Aceleracao_0;Aceleracao_1;Aceleracao_2
8,512;4,27E-05;0,321125671;358,0596451;6,62E-06;9,81;-5,47E-07
8,576;4,41E-05;0,323543227;363,4440008;6,57E-06;9,81;-5,47E-07
8,64;4,56E-05;0,325960779;368,8685383;6,51E-06;9,81;-5,47E-07
8,704;4,72E-05;0,32837833;374,3332575;6,46E-06;9,81;-5,47E-07
8,768;4,87E-05;0,330795878;379,8381585;6,40E-06;9,81;-5,47E-07
8,832;5,03E-05;0,333213424;385,3832412;6,34E-06;9,81;-5,47E-07
8,896;5,19E-05;0,335630968;390,9685057;6,27E-06;9,81;-5,47E-07
8,96;5,35E-05;0,33804851;396,593952;6,21E-06;9,81;-5,47E-07
9,024;5,52E-05;0,340466049;402,25958;6,14E-06;9,81;-5,47E-07
9,088;5,69E-05;0,342883587;407,9653898;6,08E-06;9,81;-5,47E-07
9,152;5,86E-05;0,345301121;413,7113813;6,01E-06;9,81;-5,47E-07
9,216;6,03E-05;0,347718654;419,4975546;5,94E-06;9,81;-5,47E-07
9,28;6,20E-05;0,350136185;425,3239097;5,88E-06;9,81;-5,47E-07
9,344;6,38E-05;0,352553713;431,1904465;5,81E-06;9,81;-5,46E-07
9,408;6,56E-05;0,354971239;437,0971651;5,75E-06;9,81;-5,46E-07
9,472;6,74E-05;0,357388762;443,0440654;5,68E-06;9,81;-5,46E-07
9,536;6,93E-05;0,359806284;449,0311475;5,62E-06;9,81;-5,46E-07
9,6;7,11E-05;0,362223803;455,0584114;5,55E-06;9,81;-5,46E-07
9,664;7,30E-05;0,36464132;461,125857;5,49E-06;9,81;-5,46E-07
9,728;7,49E-05;0,367058835;467,2334844;5,42E-06;9,81;-5,46E-07
9,792;7,69E-05;0,369476348;473,3812936;5,36E-06;9,81;-5,46E-07
9,856;7,88E-05;0,371893858;479,5692845;5,29E-06;9,81;-5,46E-07
9,92;8,08E-05;0,374311366;485,7974571;5,23E-06;9,81;-5,46E-07
9,984;8,28E-05;0,376728872;492,0658115;5,16E-06;9,81;-5,46E-07
10,048;8,48E-05;0,379146375;498,3743477;5,09E-06;9,81;-5,46E-07
10,112;8,69E-05;0,381563877;504,7230657;5,02E-06;9,81;-5,46E-07
10,176;8,89E-05;0,383981376;511,1119654;4,94E-06;9,81;-5,46E-07
10,24;9,10E-05;0,386398873;517,5410468;4,87E-06;9,81;-5,46E-07
10,304;9,31E-05;0,388816367;524,01031;4,79E-06;9,81;-5,46E-07
10,368;9,52E-05;0,39123386;530,519755;4,70E-06;9,81;-5,46E-07
10,432;9,74E-05;0,39365135;537,0693818;4,62E-06;9,81;-5,46E-07
10,496;9,95E-05;0,396068838;543,6591903;4,52E-06;9,81;-5,46E-07
10,56;0,000101695;0,398486324;550,2891805;4,43E-06;9,81;-5,46E-07
10,624;0,000103887;0,400903807;556,9593526;4,33E-06;9,81;-5,46E-07
10,688;0,000106096;0,403321288;563,6697063;4,23E-06;9,81;-5,46E-07
10,752;0,000108322;0,405738767;570,4202419;4,12E-06;9,81;-5,46E-07
10,816;0,000110564;0,408156244;577,2109592;4,01E-06;9,81;-5,46E-07
10,88;0,000112823;0,410573718;584,0418582;3,89E-06;9,81;-5,46E-07
10,944;0,000115097;0,412991191;590,9129391;3,77E-06;9,81;-5,47E-07
11,008;0,000117386;0,415408661;597,8242016;3,64E-06;9,81;-5,47E-07
11,072;0,000119689;0,417826128;604,775646;3,51E-06;9,81;-5,47E-07
11,136;0,000122006;0,420243594;611,7672721;3,38E-06;9,81;-5,47E-07
11,2;0,000124336;0,422661057;618,7990799;3,24E-06;9,81;-5,47E-07
11,264;0,000126679;0,425078518;625,8710696;3,10E-06;9,81;-5,47E-07
11,328;0,000129034;0,427495977;632,983241;2,95E-06;9,81;-5,47E-07
11,392;0,0001314;0,429913434;640,1355941;2,80E-06;9,81;-5,47E-07
11,456;0,000133778;0,432330888;647,328129;2,65E-06;9,81;-5,47E-07
11,52;0,000136165;0,43474834;654,5608457;2,50E-06;9,81;-5,47E-07
11,584;0,000138562;0,43716579;661,8337441;2,34E-06;9,81;-5,48E-07
11,648;0,000140969;0,439583238;669,1468243;2,18E-06;9,81;-5,48E-07
11,712;0,000143383;0,442000683;676,5000862;2,02E-06;9,81;-5,48E-07
11,776;0,000145805;0,444418126;683,8935299;1,85E-06;9,81;-5,48E-07
11,84;0,000148234;0,446835567;691,3271554;1,69E-06;9,81;-5,48E-07
11,904;0,000150669;0,449253006;698,8009626;1,53E-06;9,81;-5,48E-07
